,paul15_clusters,n_counts_all,louvain,louvain_anno,dpt_pseudotime,distance,clusters
905,9GMP,363.0,16,16/Stem,0.057430793,0.057430793,16/Stem
906,12Baso,315.0,8,8,0.15346625,0.15346625,8
907,7MEP,451.0,8,8,0.2209064,0.2209064,8
908,16Neu,1687.0,14,14,0.3645406,0.3645406,14
909,6Ery,1523.0,7,7,0.3666062,0.3666062,7
910,13Baso,1899.0,4,4,0.13297987,0.13297987,4
911,17Neu,1030.0,22,22/Baso,0.22519933,0.22519933,22/Baso
912,14Mo,1547.0,1,1,0.25978953,0.25978953,1
913,3Ery,3706.0,17,17,0.81001276,0.81001276,17
914,16Neu,2486.0,14,14,0.372464,0.372464,14
915,13Baso,2316.0,0,0,0.17582108,0.17582108,0
916,14Mo,1709.0,24,24/Mo,0.31451738,0.31451738,24/Mo
917,3Ery,4902.0,17,17,0.87771964,0.87771964,17
918,14Mo,2105.0,4,4,0.24053496,0.24053496,4
919,16Neu,2050.0,14,14,0.325697,0.325697,14
920,2Ery,5111.0,10,10/Ery,0.6983669,0.6983669,10/Ery
921,18Eos,1295.0,4,4,0.5409006,0.5409006,4
922,7MEP,304.0,8,8,0.2644832,0.2644832,8
923,7MEP,379.0,12,12,0.24923708,0.24923708,12
924,5Ery,3047.0,6,6,0.7095573,0.7095573,6
925,16Neu,1646.0,1,1,0.30050588,0.30050588,1
926,2Ery,3518.0,5,5,0.8314763,0.8314763,5
927,5Ery,2511.0,6,6,0.63496053,0.63496053,6
928,13Baso,1658.0,11,11,0.25346613,0.25346613,11
929,6Ery,537.0,12,12,0.3322541,0.3322541,12
930,14Mo,1839.0,1,1,0.2357534,0.2357534,1
931,12Baso,1322.0,22,22/Baso,0.24560161,0.24560161,22/Baso
932,13Baso,1704.0,0,0,0.13805191,0.13805191,0
933,5Ery,4418.0,6,6,0.7195291,0.7195291,6
934,2Ery,3468.0,6,6,0.6833414,0.6833414,6
935,2Ery,5677.0,5,5,0.7501472,0.7501472,5
936,14Mo,2899.0,9,9,0.3205462,0.3205462,9
937,16Neu,2461.0,2,2,0.30928192,0.30928192,2
938,14Mo,1583.0,0,0,0.21068019,0.21068019,0
939,1Ery,3118.0,10,10/Ery,0.87938046,0.87938046,10/Ery
940,11DC,622.0,23,23,inf,inf,23
941,1Ery,4464.0,10,10/Ery,0.91928095,0.91928095,10/Ery
942,13Baso,1610.0,0,0,0.18896323,0.18896323,0
943,3Ery,2716.0,6,6,0.59855825,0.59855825,6
944,5Ery,4763.0,3,3,0.84736556,0.84736556,3
945,16Neu,1947.0,2,2,0.29084855,0.29084855,2
946,16Neu,2238.0,14,14,0.3588563,0.3588563,14
947,6Ery,1416.0,7,7,0.4514246,0.4514246,7
948,1Ery,3670.0,10,10/Ery,0.92847514,0.92847514,10/Ery
949,14Mo,2613.0,0,0,0.21517643,0.21517643,0
950,16Neu,3170.0,2,2,0.25833413,0.25833413,2
951,2Ery,5090.0,3,3,0.7193007,0.7193007,3
952,10GMP,917.0,8,8,0.1282607,0.1282607,8
953,5Ery,2747.0,13,13,0.6223544,0.6223544,13
954,14Mo,3611.0,24,24/Mo,0.31251746,0.31251746,24/Mo
955,2Ery,2292.0,5,5,0.80150306,0.80150306,5
956,6Ery,2157.0,7,7,0.42798147,0.42798147,7
957,5Ery,4043.0,3,3,0.57678616,0.57678616,3
958,1Ery,2384.0,10,10/Ery,0.9198394,0.9198394,10/Ery
959,5Ery,488.0,12,12,0.27491748,0.27491748,12
960,15Mo,2858.0,2,2,0.287633,0.287633,2
961,19Lymph,315.0,21,21,inf,inf,21
962,10GMP,677.0,0,0,0.097921655,0.097921655,0
963,2Ery,5450.0,5,5,0.65491074,0.65491074,5
964,5Ery,5179.0,6,6,0.6529349,0.6529349,6
965,7MEP,389.0,8,8,0.22444221,0.22444221,8
966,6Ery,2774.0,18,18,0.6499484,0.6499484,18
967,11DC,1689.0,23,23,inf,inf,23
968,4Ery,4054.0,3,3,0.6694965,0.6694965,3
969,15Mo,1797.0,9,9,0.2645769,0.2645769,9
970,3Ery,4247.0,3,3,0.7886613,0.7886613,3
971,2Ery,2853.0,10,10/Ery,0.8025682,0.8025682,10/Ery
972,7MEP,585.0,12,12,0.28674266,0.28674266,12
973,1Ery,3137.0,10,10/Ery,0.9061934,0.9061934,10/Ery
974,7MEP,388.0,8,8,0.25489318,0.25489318,8
975,5Ery,1604.0,13,13,0.5168204,0.5168204,13
976,3Ery,6859.0,3,3,0.7268696,0.7268696,3
977,3Ery,2589.0,3,3,0.78521985,0.78521985,3
978,13Baso,2599.0,4,4,0.22642499,0.22642499,4
979,3Ery,4171.0,15,15,0.6650521,0.6650521,15
980,15Mo,2108.0,2,2,0.32752994,0.32752994,2
981,15Mo,2787.0,1,1,0.2620824,0.2620824,1
982,4Ery,3944.0,6,6,0.59406835,0.59406835,6
983,14Mo,1973.0,1,1,0.30035785,0.30035785,1
984,2Ery,2914.0,5,5,0.7771076,0.7771076,5
985,2Ery,4372.0,3,3,0.7832851,0.7832851,3
986,16Neu,1878.0,14,14,0.30757982,0.30757982,14
987,13Baso,3281.0,11,11,0.26994276,0.26994276,11
988,14Mo,2295.0,0,0,0.19277622,0.19277622,0
989,5Ery,1776.0,7,7,0.5604427,0.5604427,7
990,16Neu,1963.0,2,2,0.28734443,0.28734443,2
991,14Mo,1224.0,9,9,0.27859643,0.27859643,9
992,16Neu,1746.0,2,2,0.25106496,0.25106496,2
993,8Mk,1936.0,20,20/Mk,0.21403491,0.21403491,20/Mk
994,7MEP,527.0,12,12,0.30221903,0.30221903,12
995,8Mk,577.0,8,8,0.20170918,0.20170918,8
996,14Mo,1685.0,1,1,0.25963542,0.25963542,1
997,10GMP,1101.0,0,0,0.13225271,0.13225271,0
998,5Ery,3985.0,6,6,0.6146945,0.6146945,6
999,10GMP,564.0,8,8,0.19533372,0.19533372,8
1000,3Ery,3805.0,6,6,0.6420071,0.6420071,6
1001,13Baso,2531.0,0,0,0.17313613,0.17313613,0
1002,14Mo,1190.0,1,1,0.31930706,0.31930706,1
1003,3Ery,4390.0,3,3,0.7334448,0.7334448,3
1004,2Ery,1926.0,6,6,0.7280491,0.7280491,6
1005,2Ery,1889.0,5,5,0.8441749,0.8441749,5
1006,14Mo,1396.0,2,2,0.25103566,0.25103566,2
1007,2Ery,3289.0,5,5,0.7726189,0.7726189,5
1008,6Ery,1204.0,7,7,0.32170874,0.32170874,7
1009,4Ery,3660.0,3,3,0.785606,0.785606,3
1010,15Mo,2393.0,2,2,0.3358571,0.3358571,2
1011,13Baso,2437.0,11,11,0.24932185,0.24932185,11
1012,6Ery,1017.0,13,13,0.5408873,0.5408873,13
1013,12Baso,746.0,16,16/Stem,0.039745104,0.039745104,16/Stem
1014,16Neu,1274.0,14,14,0.35518938,0.35518938,14
1015,14Mo,2385.0,1,1,0.28502527,0.28502527,1
1016,15Mo,2051.0,2,2,0.31261775,0.31261775,2
1017,13Baso,6620.0,9,9,0.30635807,0.30635807,9
1018,2Ery,3679.0,3,3,0.70435274,0.70435274,3
1019,14Mo,1246.0,11,11,0.2429907,0.2429907,11
1020,14Mo,990.0,11,11,0.2619011,0.2619011,11
1021,12Baso,491.0,16,16/Stem,0.082205996,0.082205996,16/Stem
1022,10GMP,461.0,0,0,0.113884225,0.113884225,0
1023,7MEP,425.0,8,8,0.24640381,0.24640381,8
1024,2Ery,3704.0,5,5,0.76776457,0.76776457,5
1025,4Ery,2327.0,6,6,0.6471198,0.6471198,6
1026,3Ery,2216.0,6,6,0.6625546,0.6625546,6
1027,16Neu,1812.0,2,2,0.373604,0.373604,2
1028,5Ery,1253.0,13,13,0.62140787,0.62140787,13
1029,2Ery,2205.0,5,5,0.7249699,0.7249699,5
1030,3Ery,3969.0,15,15,0.68722594,0.68722594,15
1031,2Ery,3191.0,5,5,0.82929945,0.82929945,5
1032,14Mo,1848.0,11,11,0.27093175,0.27093175,11
1033,14Mo,2877.0,1,1,0.26931998,0.26931998,1
1034,8Mk,1207.0,20,20/Mk,0.36769384,0.36769384,20/Mk
1035,5Ery,2923.0,6,6,0.58890635,0.58890635,6
1036,7MEP,579.0,7,7,0.31557122,0.31557122,7
1037,7MEP,452.0,8,8,0.15291452,0.15291452,8
1038,16Neu,2046.0,2,2,0.3196844,0.3196844,2
1039,2Ery,3043.0,5,5,0.62940276,0.62940276,5
1040,13Baso,2867.0,0,0,0.11791813,0.11791813,0
1041,5Ery,3981.0,6,6,0.6214052,0.6214052,6
1042,5Ery,2641.0,13,13,0.6249657,0.6249657,13
1043,14Mo,2014.0,4,4,0.23448743,0.23448743,4
1044,6Ery,1148.0,7,7,0.3686147,0.3686147,7
1045,14Mo,1727.0,9,9,0.26605883,0.26605883,9
1046,7MEP,569.0,16,16/Stem,0.071592316,0.071592316,16/Stem
1047,2Ery,2508.0,5,5,0.69787693,0.69787693,5
1048,13Baso,1097.0,0,0,0.18627669,0.18627669,0
1049,2Ery,3379.0,10,10/Ery,0.807472,0.807472,10/Ery
1050,14Mo,927.0,4,4,0.20047826,0.20047826,4
1051,2Ery,2761.0,5,5,0.8144709,0.8144709,5
1052,15Mo,2114.0,2,2,0.35439676,0.35439676,2
1053,3Ery,2709.0,6,6,0.67245674,0.67245674,6
1054,5Ery,4336.0,18,18,0.60557115,0.60557115,18
1055,10GMP,793.0,8,8,0.24095485,0.24095485,8
1056,6Ery,1212.0,7,7,0.42966717,0.42966717,7
1057,15Mo,549.0,1,1,0.27287596,0.27287596,1
1058,1Ery,4199.0,10,10/Ery,0.8303677,0.8303677,10/Ery
1059,4Ery,2392.0,15,15,0.6504794,0.6504794,15
1060,12Baso,1032.0,8,8,0.16213937,0.16213937,8
1061,4Ery,1362.0,6,6,0.63884145,0.63884145,6
1062,13Baso,3157.0,9,9,0.25011498,0.25011498,9
1063,6Ery,3646.0,15,15,0.7307882,0.7307882,15
1064,3Ery,555.0,6,6,0.5880052,0.5880052,6
1065,8Mk,1886.0,8,8,0.29467234,0.29467234,8
1066,6Ery,3311.0,18,18,0.5009667,0.5009667,18
1067,3Ery,1268.0,15,15,0.6654365,0.6654365,15
1068,3Ery,3667.0,15,15,0.75097156,0.75097156,15
1069,4Ery,6276.0,17,17,0.8257681,0.8257681,17
1070,16Neu,3050.0,19,19/Neu,0.3859069,0.3859069,19/Neu
1071,7MEP,531.0,8,8,0.28778538,0.28778538,8
1072,3Ery,3347.0,17,17,0.83055043,0.83055043,17
1073,15Mo,3476.0,2,2,0.2907284,0.2907284,2
1074,10GMP,1038.0,0,0,0.12320454,0.12320454,0
1075,12Baso,1917.0,16,16/Stem,0.06667298,0.06667298,16/Stem
1076,3Ery,4217.0,17,17,0.8374382,0.8374382,17
1077,3Ery,5022.0,3,3,0.704471,0.704471,3
1078,14Mo,5389.0,9,9,0.2932248,0.2932248,9
1079,9GMP,1594.0,0,0,0.03251227,0.03251227,0
1080,12Baso,1274.0,16,16/Stem,0.06726767,0.06726767,16/Stem
1081,15Mo,1861.0,14,14,0.42701256,0.42701256,14
1082,15Mo,3339.0,2,2,0.2336511,0.2336511,2
1083,2Ery,4856.0,10,10/Ery,0.72752315,0.72752315,10/Ery
1084,14Mo,1436.0,1,1,0.25529116,0.25529116,1
1085,4Ery,3005.0,3,3,0.7427188,0.7427188,3
1086,3Ery,7473.0,17,17,0.8007087,0.8007087,17
1087,14Mo,2773.0,9,9,0.27588296,0.27588296,9
1088,14Mo,2273.0,1,1,0.20498763,0.20498763,1
1089,8Mk,6765.0,20,20/Mk,0.52216434,0.52216434,20/Mk
1090,16Neu,1902.0,19,19/Neu,0.3727204,0.3727204,19/Neu
1091,10GMP,494.0,12,12,0.18950912,0.18950912,12
1092,2Ery,4079.0,5,5,0.55633444,0.55633444,5
1093,2Ery,3622.0,10,10/Ery,0.65410966,0.65410966,10/Ery
1094,3Ery,5072.0,3,3,0.738038,0.738038,3
1095,9GMP,673.0,8,8,0.2281922,0.2281922,8
1096,15Mo,3957.0,2,2,0.28589064,0.28589064,2
1097,14Mo,2312.0,9,9,0.2801511,0.2801511,9
1098,5Ery,3135.0,6,6,0.64956397,0.64956397,6
1099,14Mo,1203.0,4,4,0.18430816,0.18430816,4
1100,2Ery,4545.0,10,10/Ery,0.75199527,0.75199527,10/Ery
1101,13Baso,2200.0,11,11,0.22886337,0.22886337,11
1102,14Mo,5138.0,9,9,0.26140323,0.26140323,9
1103,14Mo,4021.0,9,9,0.28722617,0.28722617,9
1104,14Mo,1960.0,0,0,0.19434877,0.19434877,0
1105,2Ery,4827.0,3,3,0.8293029,0.8293029,3
1106,2Ery,4076.0,10,10/Ery,0.8001659,0.8001659,10/Ery
1107,13Baso,1278.0,9,9,0.28001815,0.28001815,9
1108,6Ery,728.0,7,7,0.3368983,0.3368983,7
1109,7MEP,364.0,8,8,0.12939517,0.12939517,8
1110,7MEP,460.0,12,12,0.2466949,0.2466949,12
1111,13Baso,2855.0,0,0,0.19492951,0.19492951,0
1112,3Ery,3583.0,15,15,0.69997823,0.69997823,15
1113,3Ery,1610.0,7,7,0.51488847,0.51488847,7
1114,14Mo,1965.0,4,4,0.2513521,0.2513521,4
1115,2Ery,497.0,13,13,0.5859941,0.5859941,13
1116,2Ery,2274.0,5,5,0.65559477,0.65559477,5
1117,8Mk,1261.0,20,20/Mk,0.20632286,0.20632286,20/Mk
1118,7MEP,524.0,8,8,0.2769372,0.2769372,8
1119,16Neu,1766.0,14,14,0.26409674,0.26409674,14
1120,5Ery,1946.0,7,7,0.54493296,0.54493296,7
1121,14Mo,4350.0,1,1,0.32335433,0.32335433,1
1122,2Ery,2514.0,13,13,0.55534923,0.55534923,13
1123,14Mo,1520.0,4,4,0.25671104,0.25671104,4
1124,8Mk,1625.0,16,16/Stem,0.15326457,0.15326457,16/Stem
1125,7MEP,874.0,8,8,0.19113374,0.19113374,8
1126,19Lymph,661.0,21,21,inf,inf,21
1127,14Mo,3709.0,4,4,0.286945,0.286945,4
1128,12Baso,436.0,8,8,0.25011876,0.25011876,8
1129,13Baso,2782.0,11,11,0.2603252,0.2603252,11
1130,12Baso,1176.0,12,12,0.2328669,0.2328669,12
1131,13Baso,2884.0,11,11,0.27139944,0.27139944,11
1132,4Ery,8590.0,3,3,0.6951887,0.6951887,3
1133,14Mo,4574.0,1,1,0.20992951,0.20992951,1
1134,2Ery,6801.0,17,17,0.8500352,0.8500352,17
1135,5Ery,2981.0,13,13,0.6992234,0.6992234,13
1136,11DC,701.0,23,23,inf,inf,23
1137,16Neu,3051.0,19,19/Neu,0.40444395,0.40444395,19/Neu
1138,3Ery,9122.0,3,3,0.71331275,0.71331275,3
1139,11DC,1415.0,23,23,inf,inf,23
1140,3Ery,4099.0,3,3,0.682126,0.682126,3
1141,4Ery,4076.0,3,3,0.7219831,0.7219831,3
1142,3Ery,5319.0,17,17,0.82071275,0.82071275,17
1143,6Ery,1187.0,7,7,0.44509593,0.44509593,7
1144,15Mo,3433.0,2,2,0.36432076,0.36432076,2
1145,17Neu,668.0,22,22/Baso,0.35830432,0.35830432,22/Baso
1146,14Mo,1628.0,9,9,0.32281926,0.32281926,9
1147,4Ery,3925.0,17,17,0.8699471,0.8699471,17
1148,9GMP,1391.0,0,0,0.14859986,0.14859986,0
1149,7MEP,543.0,8,8,0.2280809,0.2280809,8
1150,7MEP,422.0,12,12,0.22603917,0.22603917,12
1151,14Mo,3614.0,4,4,0.23227586,0.23227586,4
1152,13Baso,2115.0,4,4,0.17574419,0.17574419,4
1153,4Ery,3026.0,15,15,0.7025707,0.7025707,15
1154,13Baso,585.0,0,0,0.060074516,0.060074516,0
1155,14Mo,2523.0,1,1,0.18985961,0.18985961,1
1156,3Ery,4251.0,6,6,0.710645,0.710645,6
1157,2Ery,3245.0,10,10/Ery,0.8309551,0.8309551,10/Ery
1158,3Ery,6164.0,15,15,0.70091003,0.70091003,15
1159,14Mo,2550.0,9,9,0.3236568,0.3236568,9
1160,6Ery,3222.0,18,18,0.5766158,0.5766158,18
1161,2Ery,2124.0,5,5,0.6858428,0.6858428,5
1162,10GMP,1896.0,0,0,0.14182451,0.14182451,0
1163,13Baso,1571.0,1,1,0.18366636,0.18366636,1
1164,5Ery,2033.0,7,7,0.518878,0.518878,7
1165,7MEP,467.0,12,12,0.2540781,0.2540781,12
1166,13Baso,2563.0,9,9,0.28738368,0.28738368,9
1167,3Ery,2516.0,10,10/Ery,0.8157132,0.8157132,10/Ery
1168,2Ery,3351.0,5,5,0.6673641,0.6673641,5
1169,14Mo,2264.0,11,11,0.28013095,0.28013095,11
1170,3Ery,3108.0,3,3,0.70355016,0.70355016,3
1171,2Ery,2614.0,5,5,0.74952203,0.74952203,5
1172,10GMP,429.0,12,12,0.23875836,0.23875836,12
1173,13Baso,4036.0,9,9,0.3262801,0.3262801,9
1174,14Mo,3378.0,11,11,0.25600356,0.25600356,11
1175,4Ery,3853.0,3,3,0.67525053,0.67525053,3
1176,5Ery,2216.0,13,13,0.58450985,0.58450985,13
1177,18Eos,1377.0,4,4,0.18777312,0.18777312,4
1178,2Ery,1151.0,13,13,0.5393443,0.5393443,13
1179,14Mo,2411.0,2,2,0.20967163,0.20967163,2
1180,3Ery,5905.0,15,15,0.73141384,0.73141384,15
1181,13Baso,1307.0,0,0,0.18512194,0.18512194,0
1182,5Ery,3047.0,6,6,0.5321999,0.5321999,6
1183,12Baso,1748.0,16,16/Stem,0.024134055,0.024134055,16/Stem
1184,5Ery,1519.0,13,13,0.48730648,0.48730648,13
1185,2Ery,5755.0,5,5,0.7394232,0.7394232,5
1186,7MEP,364.0,8,8,0.21798655,0.21798655,8
1187,5Ery,880.0,7,7,0.41091496,0.41091496,7
1188,16Neu,1484.0,14,14,0.34566748,0.34566748,14
1189,15Mo,6061.0,14,14,0.35077694,0.35077694,14
1190,14Mo,1253.0,4,4,0.19419435,0.19419435,4
1191,5Ery,2902.0,6,6,0.7074329,0.7074329,6
1192,16Neu,3445.0,14,14,0.35475987,0.35475987,14
1193,2Ery,3140.0,5,5,0.7620851,0.7620851,5
1194,2Ery,3479.0,10,10/Ery,0.6457361,0.6457361,10/Ery
1195,6Ery,2385.0,18,18,0.6204686,0.6204686,18
1196,2Ery,3115.0,5,5,0.7592084,0.7592084,5
1197,5Ery,3858.0,6,6,0.60700744,0.60700744,6
1198,14Mo,1841.0,4,4,0.18968788,0.18968788,4
1199,2Ery,4774.0,10,10/Ery,0.79124665,0.79124665,10/Ery
1200,3Ery,5999.0,18,18,0.5807936,0.5807936,18
1201,5Ery,4733.0,15,15,0.6929285,0.6929285,15
1202,16Neu,3063.0,19,19/Neu,0.4042932,0.4042932,19/Neu
1203,10GMP,2253.0,0,0,0.10502309,0.10502309,0
1204,14Mo,2094.0,11,11,0.292306,0.292306,11
1205,1Ery,3279.0,10,10/Ery,0.86328495,0.86328495,10/Ery
1206,2Ery,3073.0,5,5,0.77102405,0.77102405,5
1207,3Ery,5910.0,17,17,0.7304373,0.7304373,17
1208,15Mo,2316.0,2,2,0.3669531,0.3669531,2
1209,7MEP,695.0,8,8,0.18041807,0.18041807,8
1210,4Ery,2781.0,6,6,0.6542827,0.6542827,6
1211,7MEP,395.0,8,8,0.21887362,0.21887362,8
1212,5Ery,2306.0,13,13,0.556367,0.556367,13
1213,2Ery,4309.0,6,6,0.6888717,0.6888717,6
1214,13Baso,3101.0,0,0,0.19182791,0.19182791,0
1215,14Mo,4442.0,1,1,0.27997258,0.27997258,1
1216,15Mo,3280.0,1,1,0.27545047,0.27545047,1
1217,2Ery,4867.0,3,3,0.8012406,0.8012406,3
1218,14Mo,1879.0,4,4,0.2205956,0.2205956,4
1219,6Ery,2299.0,7,7,0.49745852,0.49745852,7
1220,12Baso,1932.0,16,16/Stem,0.02939796,0.02939796,16/Stem
1221,2Ery,5413.0,3,3,0.7198842,0.7198842,3
1222,19Lymph,623.0,21,21,inf,inf,21
1223,6Ery,1461.0,7,7,0.5091493,0.5091493,7
1224,14Mo,4699.0,4,4,0.23008005,0.23008005,4
1225,6Ery,768.0,12,12,0.29425213,0.29425213,12
1226,17Neu,580.0,22,22/Baso,0.32705832,0.32705832,22/Baso
1227,6Ery,2449.0,18,18,0.62361217,0.62361217,18
1228,6Ery,432.0,12,12,0.22532922,0.22532922,12
1229,9GMP,674.0,16,16/Stem,0.0359307,0.0359307,16/Stem
1230,3Ery,4160.0,15,15,0.69042045,0.69042045,15
1231,14Mo,3296.0,9,9,0.29842904,0.29842904,9
1232,6Ery,3020.0,18,18,0.5437869,0.5437869,18
1233,15Mo,4977.0,2,2,0.3602095,0.3602095,2
1234,15Mo,2094.0,1,1,0.29143116,0.29143116,1
1235,13Baso,2114.0,9,9,0.26883662,0.26883662,9
1236,3Ery,4359.0,3,3,0.7742478,0.7742478,3
1237,16Neu,1464.0,14,14,0.41642815,0.41642815,14
1238,7MEP,369.0,8,8,0.2129721,0.2129721,8
1239,3Ery,11366.0,3,3,0.7380829,0.7380829,3
1240,13Baso,4016.0,4,4,0.28731045,0.28731045,4
1241,3Ery,4430.0,17,17,0.7778036,0.7778036,17
1242,14Mo,2497.0,4,4,0.25716537,0.25716537,4
1243,14Mo,3483.0,24,24/Mo,0.29380432,0.29380432,24/Mo
1244,8Mk,1324.0,20,20/Mk,0.19886625,0.19886625,20/Mk
1245,16Neu,1845.0,2,2,0.24189737,0.24189737,2
1246,14Mo,1560.0,4,4,0.20210765,0.20210765,4
1247,17Neu,807.0,22,22/Baso,0.32040054,0.32040054,22/Baso
1248,3Ery,5295.0,17,17,0.8449913,0.8449913,17
1249,5Ery,1814.0,13,13,0.5572675,0.5572675,13
1250,10GMP,980.0,0,0,0.087975346,0.087975346,0
1251,16Neu,1999.0,14,14,0.33126345,0.33126345,14
1252,2Ery,3556.0,6,6,0.65013754,0.65013754,6
1253,14Mo,1062.0,4,4,0.24095498,0.24095498,4
1254,6Ery,1233.0,7,7,0.36019385,0.36019385,7
1255,14Mo,3531.0,9,9,0.2823799,0.2823799,9
1256,13Baso,4142.0,9,9,0.2602934,0.2602934,9
1257,5Ery,1826.0,7,7,0.53101397,0.53101397,7
1258,10GMP,945.0,16,16/Stem,0.043781817,0.043781817,16/Stem
1259,7MEP,346.0,12,12,0.27017543,0.27017543,12
1260,2Ery,2681.0,6,6,0.75786734,0.75786734,6
1261,2Ery,2743.0,5,5,0.6541208,0.6541208,5
1262,2Ery,3465.0,10,10/Ery,0.7894087,0.7894087,10/Ery
1263,14Mo,4989.0,4,4,0.20072162,0.20072162,4
1264,7MEP,766.0,8,8,0.2955528,0.2955528,8
1265,8Mk,1693.0,20,20/Mk,0.34366158,0.34366158,20/Mk
1266,14Mo,2586.0,1,1,0.25095457,0.25095457,1
1267,2Ery,2603.0,5,5,0.7196112,0.7196112,5
1268,2Ery,3273.0,5,5,0.61916786,0.61916786,5
1269,14Mo,1540.0,4,4,0.20248917,0.20248917,4
1270,13Baso,3209.0,4,4,0.26069495,0.26069495,4
1271,7MEP,1200.0,8,8,0.2830557,0.2830557,8
1272,4Ery,6553.0,17,17,0.78070086,0.78070086,17
1273,13Baso,2816.0,0,0,0.22536251,0.22536251,0
1274,13Baso,1169.0,1,1,0.21167228,0.21167228,1
1275,5Ery,1304.0,18,18,0.53991705,0.53991705,18
1276,2Ery,1681.0,5,5,0.82419646,0.82419646,5
1277,18Eos,636.0,4,4,0.598998,0.598998,4
1278,15Mo,3064.0,2,2,0.318536,0.318536,2
1279,5Ery,3268.0,18,18,0.5860626,0.5860626,18
1280,7MEP,354.0,8,8,0.2578735,0.2578735,8
1281,2Ery,3370.0,10,10/Ery,0.7525369,0.7525369,10/Ery
1282,13Baso,2973.0,24,24/Mo,0.32813326,0.32813326,24/Mo
1283,14Mo,1597.0,9,9,0.3071038,0.3071038,9
1284,6Ery,905.0,12,12,0.31673372,0.31673372,12
1285,5Ery,2228.0,18,18,0.6056942,0.6056942,18
1286,4Ery,4782.0,15,15,0.6973363,0.6973363,15
1287,13Baso,1711.0,11,11,0.1998864,0.1998864,11
1288,7MEP,640.0,12,12,0.25879544,0.25879544,12
1289,5Ery,853.0,7,7,0.4443878,0.4443878,7
1290,5Ery,2430.0,6,6,0.5349723,0.5349723,6
1291,10GMP,826.0,0,0,0.0915378,0.0915378,0
1292,16Neu,2736.0,19,19/Neu,0.38854754,0.38854754,19/Neu
1293,2Ery,6312.0,3,3,0.72653866,0.72653866,3
1294,14Mo,3445.0,1,1,0.30273205,0.30273205,1
1295,3Ery,4294.0,17,17,0.78271836,0.78271836,17
1296,2Ery,4516.0,3,3,0.7152141,0.7152141,3
1297,10GMP,1623.0,0,0,0.17131047,0.17131047,0
1298,16Neu,1938.0,2,2,0.2999784,0.2999784,2
1299,8Mk,870.0,8,8,0.19028714,0.19028714,8
1300,6Ery,1293.0,7,7,0.29411516,0.29411516,7
1301,15Mo,3973.0,1,1,0.28915042,0.28915042,1
1302,5Ery,3261.0,15,15,0.5815062,0.5815062,15
1303,10GMP,1083.0,0,0,0.17950593,0.17950593,0
1304,7MEP,470.0,8,8,0.24442825,0.24442825,8
1305,14Mo,4265.0,1,1,0.2443676,0.2443676,1
1306,19Lymph,337.0,21,21,inf,inf,21
1307,2Ery,7283.0,3,3,0.83907354,0.83907354,3
1308,15Mo,3104.0,2,2,0.20660445,0.20660445,2
1309,3Ery,3429.0,17,17,0.7779505,0.7779505,17
1310,6Ery,1667.0,18,18,0.5305429,0.5305429,18
1311,1Ery,3180.0,10,10/Ery,0.876011,0.876011,10/Ery
1312,2Ery,4619.0,17,17,0.81061924,0.81061924,17
1313,3Ery,5212.0,17,17,0.81845075,0.81845075,17
1314,4Ery,5568.0,3,3,0.75315493,0.75315493,3
1315,6Ery,1942.0,7,7,0.52156633,0.52156633,7
1316,13Baso,2031.0,11,11,0.22331667,0.22331667,11
1317,3Ery,4182.0,3,3,0.565301,0.565301,3
1318,5Ery,2411.0,18,18,0.5347623,0.5347623,18
1319,14Mo,387.0,2,2,0.38120037,0.38120037,2
1320,13Baso,3719.0,4,4,0.3066991,0.3066991,4
1321,13Baso,1693.0,0,0,0.23204431,0.23204431,0
1322,3Ery,3893.0,3,3,0.69850874,0.69850874,3
1323,4Ery,5468.0,15,15,0.6515099,0.6515099,15
1324,7MEP,526.0,12,12,0.24791166,0.24791166,12
1325,10GMP,940.0,0,0,0.20476636,0.20476636,0
1326,11DC,1498.0,23,23,inf,inf,23
1327,3Ery,4408.0,3,3,0.71365,0.71365,3
1328,13Baso,1310.0,0,0,0.1315767,0.1315767,0
1329,2Ery,3787.0,6,6,0.55818427,0.55818427,6
1330,13Baso,1645.0,9,9,0.3059639,0.3059639,9
1331,2Ery,6482.0,3,3,0.74734867,0.74734867,3
1332,4Ery,3527.0,3,3,0.64991796,0.64991796,3
1333,10GMP,635.0,0,0,0.07809014,0.07809014,0
1334,16Neu,2178.0,19,19/Neu,0.40067938,0.40067938,19/Neu
1335,14Mo,1098.0,2,2,0.22778934,0.22778934,2
1336,16Neu,2101.0,14,14,0.31903222,0.31903222,14
1337,10GMP,776.0,16,16/Stem,0.045545094,0.045545094,16/Stem
1338,2Ery,2741.0,6,6,0.70306575,0.70306575,6
1339,2Ery,3679.0,3,3,0.7864774,0.7864774,3
1340,6Ery,1435.0,7,7,0.46613482,0.46613482,7
1341,3Ery,4992.0,3,3,0.70979995,0.70979995,3
1342,14Mo,3303.0,1,1,0.26641414,0.26641414,1
1343,14Mo,1149.0,4,4,0.16013645,0.16013645,4
1344,15Mo,2032.0,2,2,0.31197628,0.31197628,2
1345,10GMP,2197.0,0,0,0.09928225,0.09928225,0
1346,13Baso,1549.0,9,9,0.3151933,0.3151933,9
1347,3Ery,2428.0,15,15,0.60903454,0.60903454,15
1348,7MEP,618.0,8,8,0.24016857,0.24016857,8
